Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"filterValue = filterValue.replace(""."", """")",Chrome 79.0.3945.88,,,2020-04-05 20:43:05,2020-04-05 20:43:05,0.007s,PASSED
"filterValue = filterValue.replace(""%"", """")",Chrome 79.0.3945.88,,,2020-04-05 20:43:05,2020-04-05 20:43:05,0.011s,PASSED
"filterValue = filterValue.replace("", "", ""-"")",Chrome 79.0.3945.88,,,2020-04-05 20:43:05,2020-04-05 20:43:05,0.012s,PASSED
"filterValue = filterValue.replace("" "", ""-"")",Chrome 79.0.3945.88,,,2020-04-05 20:43:05,2020-04-05 20:43:05,0.009s,PASSED
"chkFilter = utilities.WebUtils.parameterizedFilterInput(preXpath, index)",Chrome 79.0.3945.88,,,2020-04-05 20:43:05,2020-04-05 20:43:05,0.002s,PASSED
"filterName = getAttribute(chkFilter, ""name"").toLowerCase()",Chrome 79.0.3945.88,,,2020-04-05 20:43:05,2020-04-05 20:43:06,0.142s,PASSED
utilities.WebUtils.filterOneCriteria(chkFilter),Chrome 79.0.3945.88,Search with filter,,2020-04-05 20:43:06,2020-04-05 20:43:10,4.038s,PASSED
driver = getWebDriver(),Chrome 79.0.3945.88,,,2020-04-05 20:43:10,2020-04-05 20:43:10,0.032s,PASSED
"list = driver.findElements(By.cssSelector("".product-list__header .row .product-list .product-list-item-name""))",Chrome 79.0.3945.88,,,2020-04-05 20:43:10,2020-04-05 20:43:11,1.131s,PASSED
countList = list.size(),Chrome 79.0.3945.88,,,2020-04-05 20:43:11,2020-04-05 20:43:11,0.010s,PASSED
if (countList == 0),Chrome 79.0.3945.88,,,2020-04-05 20:43:11,2020-04-05 20:43:11,0.018s,PASSED
else,Chrome 79.0.3945.88,,,2020-04-05 20:43:11,2020-04-05 20:43:15,4.372s,PASSED
Start tear down : tearDown,Chrome 79.0.3945.88,,,2020-04-05 20:43:15,2020-04-05 20:43:16,0.299s,PASSED
,,,,,,,
Test Cases/Category/Search with Criteria,Chrome 79.0.3945.88,,,2020-04-05 20:43:17,2020-04-05 20:43:45,28.090s,PASSED
rand = new java.util.Random(),Chrome 79.0.3945.88,,,2020-04-05 20:43:18,2020-04-05 20:43:18,0.006s,PASSED
index = rand.nextInt(Integer.valueOf(toString().trim())),Chrome 79.0.3945.88,,,2020-04-05 20:43:18,2020-04-05 20:43:18,0.019s,PASSED
chkFilter = new com.kms.katalon.core.testobject.TestObject(),Chrome 79.0.3945.88,,,2020-04-05 20:43:18,2020-04-05 20:43:18,0.018s,PASSED
filterName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:43:18,2020-04-05 20:43:18,0.038s,PASSED
filterValue = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:43:18,2020-04-05 20:43:18,0.030s,PASSED
apiID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:43:18,2020-04-05 20:43:18,0.031s,PASSED
openBrowser(url),Chrome 79.0.3945.88,Open the VOX SUT,,2020-04-05 20:43:18,2020-04-05 20:43:26,7.862s,PASSED
switch (category),Chrome 79.0.3945.88,"Go to Accessories, Groceries, Apparel page",,2020-04-05 20:43:26,2020-04-05 20:43:31,5.168s,PASSED
"chkFilter = utilities.WebUtils.parameterizedFilterLabel(preXpath, index)",Chrome 79.0.3945.88,,,2020-04-05 20:43:31,2020-04-05 20:43:31,0.100s,PASSED
filterValue = trim().toLowerCase(),Chrome 79.0.3945.88,,,2020-04-05 20:43:31,2020-04-05 20:43:32,1.497s,PASSED
"filterValue = filterValue.replace(""."", """")",Chrome 79.0.3945.88,,,2020-04-05 20:43:32,2020-04-05 20:43:32,0.012s,PASSED
"filterValue = filterValue.replace(""%"", """")",Chrome 79.0.3945.88,,,2020-04-05 20:43:32,2020-04-05 20:43:32,0.004s,PASSED
"filterValue = filterValue.replace("", "", ""-"")",Chrome 79.0.3945.88,,,2020-04-05 20:43:32,2020-04-05 20:43:32,0.007s,PASSED
"filterValue = filterValue.replace("" "", ""-"")",Chrome 79.0.3945.88,,,2020-04-05 20:43:32,2020-04-05 20:43:32,0.005s,PASSED
"chkFilter = utilities.WebUtils.parameterizedFilterInput(preXpath, index)",Chrome 79.0.3945.88,,,2020-04-05 20:43:32,2020-04-05 20:43:32,0.005s,PASSED
"filterName = getAttribute(chkFilter, ""name"").toLowerCase()",Chrome 79.0.3945.88,,,2020-04-05 20:43:32,2020-04-05 20:43:33,0.229s,PASSED
utilities.WebUtils.filterOneCriteria(chkFilter),Chrome 79.0.3945.88,Search with filter,,2020-04-05 20:43:33,2020-04-05 20:43:38,5.469s,PASSED
driver = getWebDriver(),Chrome 79.0.3945.88,,,2020-04-05 20:43:38,2020-04-05 20:43:38,0.056s,PASSED
"list = driver.findElements(By.cssSelector("".product-list__header .row .product-list .product-list-item-name""))",Chrome 79.0.3945.88,,,2020-04-05 20:43:38,2020-04-05 20:43:40,1.534s,PASSED
countList = list.size(),Chrome 79.0.3945.88,,,2020-04-05 20:43:40,2020-04-05 20:43:40,0.009s,PASSED
if (countList == 0),Chrome 79.0.3945.88,,,2020-04-05 20:43:40,2020-04-05 20:43:40,0.006s,PASSED
else,Chrome 79.0.3945.88,,,2020-04-05 20:43:40,2020-04-05 20:43:44,4.780s,PASSED
Start tear down : tearDown,Chrome 79.0.3945.88,,,2020-04-05 20:43:44,2020-04-05 20:43:45,0.285s,PASSED
,,,,,,,
Test Cases/Category/Search with Criteria,Chrome 79.0.3945.88,,,2020-04-05 20:43:45,2020-04-05 20:44:13,27.326s,PASSED
rand = new java.util.Random(),Chrome 79.0.3945.88,,,2020-04-05 20:43:46,2020-04-05 20:43:46,0.019s,PASSED
index = rand.nextInt(Integer.valueOf(toString().trim())),Chrome 79.0.3945.88,,,2020-04-05 20:43:46,2020-04-05 20:43:46,0.003s,PASSED
chkFilter = new com.kms.katalon.core.testobject.TestObject(),Chrome 79.0.3945.88,,,2020-04-05 20:43:46,2020-04-05 20:43:46,0.044s,PASSED
filterName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:43:46,2020-04-05 20:43:46,0.053s,PASSED
filterValue = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:43:46,2020-04-05 20:43:46,0.027s,PASSED
apiID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:43:47,2020-04-05 20:43:47,0.010s,PASSED
openBrowser(url),Chrome 79.0.3945.88,Open the VOX SUT,,2020-04-05 20:43:47,2020-04-05 20:43:57,10.308s,PASSED
switch (category),Chrome 79.0.3945.88,"Go to Accessories, Groceries, Apparel page",,2020-04-05 20:43:57,2020-04-05 20:44:03,5.887s,PASSED
"chkFilter = utilities.WebUtils.parameterizedFilterLabel(preXpath, index)",Chrome 79.0.3945.88,,,2020-04-05 20:44:03,2020-04-05 20:44:03,0.018s,PASSED
filterValue = trim().toLowerCase(),Chrome 79.0.3945.88,,,2020-04-05 20:44:03,2020-04-05 20:44:05,2.035s,PASSED
"filterValue = filterValue.replace(""."", """")",Chrome 79.0.3945.88,,,2020-04-05 20:44:05,2020-04-05 20:44:05,0.051s,PASSED
"filterValue = filterValue.replace(""%"", """")",Chrome 79.0.3945.88,,,2020-04-05 20:44:05,2020-04-05 20:44:05,0.093s,PASSED
"filterValue = filterValue.replace("", "", ""-"")",Chrome 79.0.3945.88,,,2020-04-05 20:44:05,2020-04-05 20:44:05,0.005s,PASSED
"filterValue = filterValue.replace("" "", ""-"")",Chrome 79.0.3945.88,,,2020-04-05 20:44:05,2020-04-05 20:44:05,0.010s,PASSED
"chkFilter = utilities.WebUtils.parameterizedFilterInput(preXpath, index)",Chrome 79.0.3945.88,,,2020-04-05 20:44:05,2020-04-05 20:44:05,0.011s,PASSED
"filterName = getAttribute(chkFilter, ""name"").toLowerCase()",Chrome 79.0.3945.88,,,2020-04-05 20:44:05,2020-04-05 20:44:05,0.194s,PASSED
utilities.WebUtils.filterOneCriteria(chkFilter),Chrome 79.0.3945.88,Search with filter,,2020-04-05 20:44:05,2020-04-05 20:44:09,3.407s,PASSED
driver = getWebDriver(),Chrome 79.0.3945.88,,,2020-04-05 20:44:09,2020-04-05 20:44:09,0.011s,PASSED
"list = driver.findElements(By.cssSelector("".product-list__header .row .product-list .product-list-item-name""))",Chrome 79.0.3945.88,,,2020-04-05 20:44:09,2020-04-05 20:44:09,0.166s,PASSED
countList = list.size(),Chrome 79.0.3945.88,,,2020-04-05 20:44:09,2020-04-05 20:44:09,0.005s,PASSED
if (countList == 0),Chrome 79.0.3945.88,,,2020-04-05 20:44:09,2020-04-05 20:44:09,0.014s,PASSED
else,Chrome 79.0.3945.88,,,2020-04-05 20:44:09,2020-04-05 20:44:12,3.438s,PASSED
Start tear down : tearDown,Chrome 79.0.3945.88,,,2020-04-05 20:44:12,2020-04-05 20:44:13,0.313s,PASSED
,,,,,,,
Test Cases/Category/Search with Criteria,Chrome 79.0.3945.88,,,2020-04-05 20:44:14,2020-04-05 20:44:39,24.934s,PASSED
rand = new java.util.Random(),Chrome 79.0.3945.88,,,2020-04-05 20:44:15,2020-04-05 20:44:15,0.003s,PASSED
index = rand.nextInt(Integer.valueOf(toString().trim())),Chrome 79.0.3945.88,,,2020-04-05 20:44:15,2020-04-05 20:44:15,0.003s,PASSED
chkFilter = new com.kms.katalon.core.testobject.TestObject(),Chrome 79.0.3945.88,,,2020-04-05 20:44:15,2020-04-05 20:44:15,0.027s,PASSED
filterName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:44:15,2020-04-05 20:44:15,0.009s,PASSED
filterValue = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:44:15,2020-04-05 20:44:15,0.027s,PASSED
apiID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:44:15,2020-04-05 20:44:15,0.022s,PASSED
openBrowser(url),Chrome 79.0.3945.88,Open the VOX SUT,,2020-04-05 20:44:15,2020-04-05 20:44:21,6.373s,PASSED
switch (category),Chrome 79.0.3945.88,"Go to Accessories, Groceries, Apparel page",,2020-04-05 20:44:21,2020-04-05 20:44:26,4.766s,PASSED
"chkFilter = utilities.WebUtils.parameterizedFilterLabel(preXpath, index)",Chrome 79.0.3945.88,,,2020-04-05 20:44:26,2020-04-05 20:44:26,0.090s,PASSED
filterValue = trim().toLowerCase(),Chrome 79.0.3945.88,,,2020-04-05 20:44:26,2020-04-05 20:44:27,0.791s,PASSED
"filterValue = filterValue.replace(""."", """")",Chrome 79.0.3945.88,,,2020-04-05 20:44:27,2020-04-05 20:44:27,0.001s,PASSED
"filterValue = filterValue.replace(""%"", """")",Chrome 79.0.3945.88,,,2020-04-05 20:44:27,2020-04-05 20:44:27,0.003s,PASSED
"filterValue = filterValue.replace("", "", ""-"")",Chrome 79.0.3945.88,,,2020-04-05 20:44:27,2020-04-05 20:44:27,0.006s,PASSED
"filterValue = filterValue.replace("" "", ""-"")",Chrome 79.0.3945.88,,,2020-04-05 20:44:27,2020-04-05 20:44:27,0.012s,PASSED
"chkFilter = utilities.WebUtils.parameterizedFilterInput(preXpath, index)",Chrome 79.0.3945.88,,,2020-04-05 20:44:27,2020-04-05 20:44:27,0.018s,PASSED
"filterName = getAttribute(chkFilter, ""name"").toLowerCase()",Chrome 79.0.3945.88,,,2020-04-05 20:44:27,2020-04-05 20:44:27,0.179s,PASSED
utilities.WebUtils.filterOneCriteria(chkFilter),Chrome 79.0.3945.88,Search with filter,,2020-04-05 20:44:27,2020-04-05 20:44:32,4.203s,PASSED
driver = getWebDriver(),Chrome 79.0.3945.88,,,2020-04-05 20:44:32,2020-04-05 20:44:32,0.008s,PASSED
"list = driver.findElements(By.cssSelector("".product-list__header .row .product-list .product-list-item-name""))",Chrome 79.0.3945.88,,,2020-04-05 20:44:32,2020-04-05 20:44:33,1.833s,PASSED
countList = list.size(),Chrome 79.0.3945.88,,,2020-04-05 20:44:34,2020-04-05 20:44:34,0.264s,PASSED
if (countList == 0),Chrome 79.0.3945.88,,,2020-04-05 20:44:34,2020-04-05 20:44:34,0.025s,PASSED
else,Chrome 79.0.3945.88,,,2020-04-05 20:44:34,2020-04-05 20:44:39,4.988s,PASSED
Start tear down : tearDown,Chrome 79.0.3945.88,,,2020-04-05 20:44:39,2020-04-05 20:44:39,0.298s,PASSED
,,,,,,,
Test Cases/Category/Search with Criteria,Chrome 79.0.3945.88,,,2020-04-05 20:44:40,2020-04-05 20:45:02,21.800s,PASSED
rand = new java.util.Random(),Chrome 79.0.3945.88,,,2020-04-05 20:44:40,2020-04-05 20:44:40,0.002s,PASSED
index = rand.nextInt(Integer.valueOf(toString().trim())),Chrome 79.0.3945.88,,,2020-04-05 20:44:40,2020-04-05 20:44:40,0.010s,PASSED
chkFilter = new com.kms.katalon.core.testobject.TestObject(),Chrome 79.0.3945.88,,,2020-04-05 20:44:40,2020-04-05 20:44:40,0.006s,PASSED
filterName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:44:40,2020-04-05 20:44:40,0.005s,PASSED
filterValue = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:44:40,2020-04-05 20:44:40,0.004s,PASSED
apiID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:44:40,2020-04-05 20:44:40,0.002s,PASSED
openBrowser(url),Chrome 79.0.3945.88,Open the VOX SUT,,2020-04-05 20:44:40,2020-04-05 20:44:46,5.621s,PASSED
switch (category),Chrome 79.0.3945.88,"Go to Accessories, Groceries, Apparel page",,2020-04-05 20:44:46,2020-04-05 20:44:52,5.611s,PASSED
"chkFilter = utilities.WebUtils.parameterizedFilterLabel(preXpath, index)",Chrome 79.0.3945.88,,,2020-04-05 20:44:52,2020-04-05 20:44:52,0.022s,PASSED
filterValue = trim().toLowerCase(),Chrome 79.0.3945.88,,,2020-04-05 20:44:52,2020-04-05 20:44:52,0.332s,PASSED
"filterValue = filterValue.replace(""."", """")",Chrome 79.0.3945.88,,,2020-04-05 20:44:52,2020-04-05 20:44:52,0.004s,PASSED
"filterValue = filterValue.replace(""%"", """")",Chrome 79.0.3945.88,,,2020-04-05 20:44:52,2020-04-05 20:44:52,0.003s,PASSED
"filterValue = filterValue.replace("", "", ""-"")",Chrome 79.0.3945.88,,,2020-04-05 20:44:52,2020-04-05 20:44:52,0.003s,PASSED
"filterValue = filterValue.replace("" "", ""-"")",Chrome 79.0.3945.88,,,2020-04-05 20:44:52,2020-04-05 20:44:52,0.003s,PASSED
"chkFilter = utilities.WebUtils.parameterizedFilterInput(preXpath, index)",Chrome 79.0.3945.88,,,2020-04-05 20:44:52,2020-04-05 20:44:52,0.006s,PASSED
"filterName = getAttribute(chkFilter, ""name"").toLowerCase()",Chrome 79.0.3945.88,,,2020-04-05 20:44:52,2020-04-05 20:44:52,0.207s,PASSED
utilities.WebUtils.filterOneCriteria(chkFilter),Chrome 79.0.3945.88,Search with filter,,2020-04-05 20:44:52,2020-04-05 20:44:56,3.847s,PASSED
driver = getWebDriver(),Chrome 79.0.3945.88,,,2020-04-05 20:44:56,2020-04-05 20:44:56,0.004s,PASSED
"list = driver.findElements(By.cssSelector("".product-list__header .row .product-list .product-list-item-name""))",Chrome 79.0.3945.88,,,2020-04-05 20:44:56,2020-04-05 20:44:56,0.194s,PASSED
countList = list.size(),Chrome 79.0.3945.88,,,2020-04-05 20:44:56,2020-04-05 20:44:56,0.005s,PASSED
if (countList == 0),Chrome 79.0.3945.88,,,2020-04-05 20:44:56,2020-04-05 20:44:56,0.003s,PASSED
else,Chrome 79.0.3945.88,,,2020-04-05 20:44:56,2020-04-05 20:45:01,4.737s,PASSED
Start tear down : tearDown,Chrome 79.0.3945.88,,,2020-04-05 20:45:01,2020-04-05 20:45:02,0.554s,PASSED
,,,,,,,
Test Cases/Category/Search with Criteria,Chrome 79.0.3945.88,,,2020-04-05 20:45:03,2020-04-05 20:45:33,30.582s,PASSED
rand = new java.util.Random(),Chrome 79.0.3945.88,,,2020-04-05 20:45:03,2020-04-05 20:45:03,0.004s,PASSED
index = rand.nextInt(Integer.valueOf(toString().trim())),Chrome 79.0.3945.88,,,2020-04-05 20:45:03,2020-04-05 20:45:03,0.004s,PASSED
chkFilter = new com.kms.katalon.core.testobject.TestObject(),Chrome 79.0.3945.88,,,2020-04-05 20:45:03,2020-04-05 20:45:03,0.005s,PASSED
filterName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:45:03,2020-04-05 20:45:03,0.018s,PASSED
filterValue = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:45:03,2020-04-05 20:45:03,0.002s,PASSED
apiID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:45:03,2020-04-05 20:45:03,0.004s,PASSED
openBrowser(url),Chrome 79.0.3945.88,Open the VOX SUT,,2020-04-05 20:45:03,2020-04-05 20:45:11,7.665s,PASSED
switch (category),Chrome 79.0.3945.88,"Go to Accessories, Groceries, Apparel page",,2020-04-05 20:45:11,2020-04-05 20:45:16,5.090s,PASSED
"chkFilter = utilities.WebUtils.parameterizedFilterLabel(preXpath, index)",Chrome 79.0.3945.88,,,2020-04-05 20:45:16,2020-04-05 20:45:16,0.022s,PASSED
filterValue = trim().toLowerCase(),Chrome 79.0.3945.88,,,2020-04-05 20:45:16,2020-04-05 20:45:17,1.307s,PASSED
"filterValue = filterValue.replace(""."", """")",Chrome 79.0.3945.88,,,2020-04-05 20:45:17,2020-04-05 20:45:17,0.028s,PASSED
"filterValue = filterValue.replace(""%"", """")",Chrome 79.0.3945.88,,,2020-04-05 20:45:17,2020-04-05 20:45:17,0.048s,PASSED
"filterValue = filterValue.replace("", "", ""-"")",Chrome 79.0.3945.88,,,2020-04-05 20:45:17,2020-04-05 20:45:17,0.001s,PASSED
"filterValue = filterValue.replace("" "", ""-"")",Chrome 79.0.3945.88,,,2020-04-05 20:45:17,2020-04-05 20:45:17,0.018s,PASSED
"chkFilter = utilities.WebUtils.parameterizedFilterInput(preXpath, index)",Chrome 79.0.3945.88,,,2020-04-05 20:45:18,2020-04-05 20:45:18,0.081s,PASSED
"filterName = getAttribute(chkFilter, ""name"").toLowerCase()",Chrome 79.0.3945.88,,,2020-04-05 20:45:18,2020-04-05 20:45:19,1.331s,PASSED
utilities.WebUtils.filterOneCriteria(chkFilter),Chrome 79.0.3945.88,Search with filter,,2020-04-05 20:45:19,2020-04-05 20:45:24,4.701s,PASSED
driver = getWebDriver(),Chrome 79.0.3945.88,,,2020-04-05 20:45:24,2020-04-05 20:45:24,0.020s,PASSED
"list = driver.findElements(By.cssSelector("".product-list__header .row .product-list .product-list-item-name""))",Chrome 79.0.3945.88,,,2020-04-05 20:45:24,2020-04-05 20:45:25,1.543s,PASSED
